2026-03-17 17:21:01,562 | INFO | 🚀 البوت شغال!
2026-03-17 17:21:01,562 | INFO | 📝 Paper Trading
2026-03-17 17:21:05,978 | INFO | ✅ 234 عملة | أفضل 5: ['BTC/USDT', 'ETH/USDT', 'USDC/USDT', 'XRP/USDT', 'SOL/USDT']
2026-03-17 17:21:05,981 | INFO | 
🔍 مسح #1 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:21:42,418 | WARNING | ⚠️ خبر سلبي لـ G/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:21:43,900 | WARNING | ⚠️ خبر سلبي لـ U/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:21:55,466 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:22:01,969 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:22:15,490 | WARNING | ⚠️ خبر سلبي لـ W/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:22:17,689 | WARNING | ⚠️ خبر سلبي لـ S/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:22:25,304 | WARNING | ⚠️ خبر سلبي لـ AR/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:22:49,253 | WARNING | ⚠️ خبر سلبي لـ OM/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:22:59,169 | WARNING | ⚠️ خبر سلبي لـ C/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:23:27,185 | WARNING | ⚠️ خبر سلبي لـ IO/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:25:04,922 | INFO | 
🔍 مسح #2 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:25:42,164 | WARNING | ⚠️ خبر سلبي لـ G/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:25:43,777 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:25:55,277 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:26:01,922 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:26:15,156 | WARNING | ⚠️ خبر سلبي لـ W/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:26:17,216 | WARNING | ⚠️ خبر سلبي لـ S/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:26:25,188 | WARNING | ⚠️ خبر سلبي لـ AR/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:26:49,000 | WARNING | ⚠️ خبر سلبي لـ OM/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:26:58,883 | WARNING | ⚠️ خبر سلبي لـ C/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:27:27,269 | WARNING | ⚠️ خبر سلبي لـ IO/USDT: Cari picks ZKsync’s Prividium as US regional banks join stablecoin race
2026-03-17 17:27:56,802 | INFO | 🚀 البوت شغال!
2026-03-17 17:27:56,802 | INFO | 📝 Paper Trading
2026-03-17 17:28:02,354 | INFO | ✅ 234 عملة | أفضل 5: ['BTC/USDT', 'ETH/USDT', 'USDC/USDT', 'XRP/USDT', 'SOL/USDT']
2026-03-17 17:28:02,360 | INFO | 
🔍 مسح #1 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:28:13,111 | INFO | 🚀 البوت شغال!
2026-03-17 17:28:13,111 | INFO | 📝 Paper Trading
2026-03-17 17:28:18,467 | INFO | ✅ 234 عملة | أفضل 5: ['BTC/USDT', 'ETH/USDT', 'USDC/USDT', 'XRP/USDT', 'SOL/USDT']
2026-03-17 17:28:18,469 | INFO | 
🔍 مسح #1 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:28:38,675 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:28:43,104 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:28:52,373 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:28:56,084 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:28:58,974 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:00,120 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:06,019 | INFO | 
🔍 مسح #3 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:29:09,151 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:29:13,918 | WARNING | ⚠️ خبر سلبي لـ W/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:15,158 | WARNING | ⚠️ خبر سلبي لـ S/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:29:15,821 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:30,295 | WARNING | ⚠️ خبر سلبي لـ W/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:31,244 | WARNING | ⚠️ خبر سلبي لـ S/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:29:42,242 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:43,914 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:29:47,119 | WARNING | ⚠️ خبر سلبي لـ OM/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:29:56,410 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:29:56,635 | WARNING | ⚠️ خبر سلبي لـ C/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:30:01,878 | WARNING | ⚠️ خبر سلبي لـ OM/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:30:04,035 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:30:12,164 | WARNING | ⚠️ خبر سلبي لـ C/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:30:17,810 | WARNING | ⚠️ خبر سلبي لـ W/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:30:19,957 | WARNING | ⚠️ خبر سلبي لـ S/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:30:26,182 | WARNING | ⚠️ خبر سلبي لـ IO/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:30:41,307 | WARNING | ⚠️ خبر سلبي لـ IO/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:30:53,155 | WARNING | ⚠️ خبر سلبي لـ OM/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:31:03,717 | WARNING | ⚠️ خبر سلبي لـ C/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:31:31,513 | WARNING | ⚠️ خبر سلبي لـ IO/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:32:04,663 | INFO | 
🔍 مسح #2 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:32:19,090 | INFO | 
🔍 مسح #2 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:32:40,480 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:32:45,509 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:32:55,169 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:32:56,408 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:33:11,702 | INFO | 
🔍 مسح #4 | مفتوحة: 0 | خسارة اليوم: $0.00
2026-03-17 17:34:06,663 | WARNING | ⚠️ خبر سلبي لـ G/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:34:08,391 | WARNING | ⚠️ خبر سلبي لـ U/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
2026-03-17 17:34:19,781 | WARNING | ⚠️ خبر سلبي لـ F/USDT: Five companies vie for Vietnam crypto licences as overseas ban looms: Report
2026-03-17 17:34:26,635 | WARNING | ⚠️ خبر سلبي لـ ZK/USDT: U.S. regional banks building tokenized deposit network on ZKsync to rival stablecoins
